Timecode List:,02:00.3,02:52.6,03:17.1,04:16.0,06:06.9,06:26.1,06:59.2,07:27.9,14:18.2,15:16.9,15:20.6,17:24.1,18:59.1,19:10.1
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,
1,0,00:00.0,0,3604,02:00.3,120.253,3604,02:00.3,120.253,,,,,
2,3604,02:00.3,120.253,5173,02:52.6,172.606,1569,00:52.4,52.352,jump cut,,,,
3,5173,02:52.6,172.606,5906,03:17.1,197.064,733,00:24.5,24.458,scene change,person -> person,,,
4,5906,03:17.1,197.064,7672,04:16.0,255.989,1766,00:58.9,58.926,scene change,person -> objects,,,
5,7672,04:16.0,255.989,10997,06:06.9,366.933,3325,01:50.9,110.944,light change,,,,
6,10997,06:06.9,366.933,11572,06:26.1,386.119,575,00:19.2,19.186,jump cut,,,,
7,11572,06:26.1,386.119,12562,06:59.2,419.152,990,00:33.0,33.033,scene change,,,,
8,12562,06:59.2,419.152,13424,07:27.9,447.914,862,00:28.8,28.762,scene change,,,,
9,13424,07:27.9,447.914,25720,14:18.2,858.191,12296,06:50.3,410.277,light change,,,,
10,25720,14:18.2,858.191,27481,15:16.9,916.949,1761,00:58.8,58.759,jump cut,,,,
11,27481,15:16.9,916.949,27589,15:20.6,920.553,108,00:03.6,3.604,jump cut,,,,
12,27589,15:20.6,920.553,31293,17:24.1,1044.143,3704,02:03.6,123.59,jump cut,,,,
13,31293,17:24.1,1044.143,34139,18:59.1,1139.105,2846,01:35.0,94.962,jump cut,,,,
14,34139,18:59.1,1139.105,34469,19:10.1,1150.116,330,00:11.0,11.011,jump cut,,,,
15,34469,19:10.1,1150.116,37114,20:38.4,1238.37,2645,01:28.3,88.255,jump cut,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,adaptive_ratio,,60 hsv threshold,,,,,,,,,
,,,delta_hsv,,,,,,,,,,,
