Timecode List:,01:51.8,01:57.5,01:59.4,02:52.6,03:17.1,04:06.6,04:07.2,04:07.8,04:10.1,04:16.0,05:14.1,05:20.0,05:21.7,05:24.5,05:28.6,05:39.7,05:55.3,05:55.9,05:56.5,06:00.4,06:00.9,06:06.9,06:26.1,06:59.2,07:27.9,17:24.1
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,
1,0,00:00.0,0,3351,01:51.8,111.812,3351,01:51.8,111.812,,,,,,,,,,,,,,,,,
2,3351,01:51.8,111.812,3522,01:57.5,117.517,171,00:05.7,5.706,,,,,,,,,,,,,,,,,
3,3522,01:57.5,117.517,3579,01:59.4,119.419,57,00:01.9,1.902,,,,,,,,,,,,,,,,,
4,3579,01:59.4,119.419,5173,02:52.6,172.606,1594,00:53.2,53.186,,,,,,,,,,,,,,,,,
5,5173,02:52.6,172.606,5906,03:17.1,197.064,733,00:24.5,24.458,,,,,,,,,,,,,,,,,
6,5906,03:17.1,197.064,7392,04:06.6,246.646,1486,00:49.6,49.583,,,,,,,,,,,,,,,,,
7,7392,04:06.6,246.646,7409,04:07.2,247.214,17,00:00.6,0.567,,,,,,,,,,,,,,,,,
8,7409,04:07.2,247.214,7426,04:07.8,247.781,17,00:00.6,0.567,,,,,,,,,,,,,,,,,
9,7426,04:07.8,247.781,7494,04:10.1,250.05,68,00:02.3,2.269,,,,,,,,,,,,,,,,,
10,7494,04:10.1,250.05,7672,04:16.0,255.989,178,00:05.9,5.939,,,,,,,,,,,,,,,,,
11,7672,04:16.0,255.989,9415,05:14.1,314.147,1743,00:58.2,58.158,,,,,,,,,,,,,,,,,
12,9415,05:14.1,314.147,9591,05:20.0,320.02,176,00:05.9,5.873,,,,,,,,,,,,,,,,,
13,9591,05:20.0,320.02,9641,05:21.7,321.688,50,00:01.7,1.668,,,,,,,,,,,,,,,,,
14,9641,05:21.7,321.688,9725,05:24.5,324.491,84,00:02.8,2.803,,,,,,,,,,,,,,,,,
15,9725,05:24.5,324.491,9848,05:28.6,328.595,123,00:04.1,4.104,,,,,,,,,,,,,,,,,
16,9848,05:28.6,328.595,10182,05:39.7,339.739,334,00:11.1,11.144,,,,,,,,,,,,,,,,,
17,10182,05:39.7,339.739,10648,05:55.3,355.288,466,00:15.5,15.549,,,,,,,,,,,,,,,,,
18,10648,05:55.3,355.288,10666,05:55.9,355.889,18,00:00.6,0.601,,,,,,,,,,,,,,,,,
19,10666,05:55.9,355.889,10683,05:56.5,356.456,17,00:00.6,0.567,,,,,,,,,,,,,,,,,
20,10683,05:56.5,356.456,10800,06:00.4,360.36,117,00:03.9,3.904,,,,,,,,,,,,,,,,,
21,10800,06:00.4,360.36,10817,06:00.9,360.927,17,00:00.6,0.567,,,,,,,,,,,,,,,,,
22,10817,06:00.9,360.927,10997,06:06.9,366.933,180,00:06.0,6.006,,,,,,,,,,,,,,,,,
23,10997,06:06.9,366.933,11572,06:26.1,386.119,575,00:19.2,19.186,,,,,,,,,,,,,,,,,
24,11572,06:26.1,386.119,12562,06:59.2,419.152,990,00:33.0,33.033,,,,,,,,,,,,,,,,,
25,12562,06:59.2,419.152,13424,07:27.9,447.914,862,00:28.8,28.762,,,,,,,,,,,,,,,,,
26,13424,07:27.9,447.914,31293,17:24.1,1044.143,17869,09:56.2,596.229,,,,,,,,,,,,,,,,,
27,31293,17:24.1,1044.143,37114,20:38.4,1238.37,5821,03:14.2,194.227,,,,,,,,,,,,,,,,,
